Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Element Code,Element,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","035","South-eastern Asia","2019","2019","230132","Consumer Prices, Food Indices (2015 = 100), median","7009","September","6125","Value","","111.60562","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2019","2019","230132","Consumer Prices, Food Indices (2015 = 100), median","7010","October","6125","Value","","111.689408","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2019","2019","230132","Consumer Prices, Food Indices (2015 = 100), median","7011","November","6125","Value","","112.361137","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2019","2019","230132","Consumer Prices, Food Indices (2015 = 100), median","7012","December","6125","Value","","115.198284","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2020","2020","230132","Consumer Prices, Food Indices (2015 = 100), median","7001","January","6125","Value","","116.755219","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2020","2020","230132","Consumer Prices, Food Indices (2015 = 100), median","7002","February","6125","Value","","115.950444","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2020","2020","230132","Consumer Prices, Food Indices (2015 = 100), median","7003","March","6125","Value","","116.191634","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2020","2020","230132","Consumer Prices, Food Indices (2015 = 100), median","7004","April","6125","Value","","117.096554","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2020","2020","230132","Consumer Prices, Food Indices (2015 = 100), median","7005","May","6125","Value","","116.91557","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2020","2020","230132","Consumer Prices, Food Indices (2015 = 100), median","7006","June","6125","Value","","116.734586","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2020","2020","230132","Consumer Prices, Food Indices (2015 = 100), median","7007","July","6125","Value","","116.553602","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2020","2020","230132","Consumer Prices, Food Indices (2015 = 100), median","7008","August","6125","Value","","116.191634","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2020","2020","230132","Consumer Prices, Food Indices (2015 = 100), median","7009","September","6125","Value","","116.101142","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2020","2020","230132","Consumer Prices, Food Indices (2015 = 100), median","7010","October","6125","Value","","117.006062","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2020","2020","230132","Consumer Prices, Food Indices (2015 = 100), median","7011","November","6125","Value","","119.630327","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2020","2020","230132","Consumer Prices, Food Indices (2015 = 100), median","7012","December","6125","Value","","119.31644","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2021","2021","230132","Consumer Prices, Food Indices (2015 = 100), median","7001","January","6125","Value","","119.770999","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2021","2021","230132","Consumer Prices, Food Indices (2015 = 100), median","7002","February","6125","Value","","118.825173","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2021","2021","230132","Consumer Prices, Food Indices (2015 = 100), median","7003","March","6125","Value","","119.850872","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2021","2021","230132","Consumer Prices, Food Indices (2015 = 100), median","7004","April","6125","Value","","120.079137","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2021","2021","230132","Consumer Prices, Food Indices (2015 = 100), median","7005","May","6125","Value","","120.127288","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2021","2021","230132","Consumer Prices, Food Indices (2015 = 100), median","7006","June","6125","Value","","119.968961","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2021","2021","230132","Consumer Prices, Food Indices (2015 = 100), median","7007","July","6125","Value","","120.772633","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2021","2021","230132","Consumer Prices, Food Indices (2015 = 100), median","7008","August","6125","Value","","121.668524","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2021","2021","230132","Consumer Prices, Food Indices (2015 = 100), median","7009","September","6125","Value","","121.468744","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2021","2021","230132","Consumer Prices, Food Indices (2015 = 100), median","7010","October","6125","Value","","119.916495","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2021","2021","230132","Consumer Prices, Food Indices (2015 = 100), median","7011","November","6125","Value","","119.712757","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2021","2021","230132","Consumer Prices, Food Indices (2015 = 100), median","7012","December","6125","Value","","119.919262","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2010","2010","230131","Consumer Prices, Food Indices (2015 = 100), weighted average","7001","January","6125","Value","","73.679886","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2010","2010","230131","Consumer Prices, Food Indices (2015 = 100), weighted average","7002","February","6125","Value","","74.390676","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2010","2010","230131","Consumer Prices, Food Indices (2015 = 100), weighted average","7003","March","6125","Value","","74.184715","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2010","2010","230131","Consumer Prices, Food Indices (2015 = 100), weighted average","7004","April","6125","Value","","74.364549","E","Estimated value","base year is 2015"
